Team,Opponent,Team_Score,Opp_Score,Spread,Spread_Covered,Final_Score,Date
Tarleton Stte,Indiana Stte,71,87,8.5,N,71-87,2024-12-01
Portland,Denver,101,90,-7.0,Y,101-90,2024-12-01
Arkansas Stte,Hofstra,66,68,-6.0,Y,66-68,2024-12-01
Central Florida,Cal Baptist,74,59,-10.0,Y,74-59,2024-12-01
Rice,Iona,70,66,-4.5,Y,70-66,2024-12-01
UAB,Middle Tennessee,69,76,-8.0,Y,69-76,2024-12-01
Oral Roberts,Missouri Stte,67,72,2.0,N,67-72,2024-12-01
Pennsylvania,Elon,53,68,2.5,N,53-68,2024-12-01
Penn Stte,Buffalo,87,64,-28.5,Y,87-64,2024-12-01
Colorado,Pacific,75,66,-15.0,Y,75-66,2024-12-02
Louisiana-Monroe,Texas-Arlington,70,84,7.0,N,70-84,2024-12-02
Miami-Ohio,Air Force,73,60,-6.5,Y,73-60,2024-12-02
Old Dominion,William & Mary,88,83,7.5,Y,88-83,2024-12-02
Rhode Island,Yale,84,78,-2.5,Y,84-78,2024-12-02
Nevada,Washington Stte,57,68,-11.0,N,57-68,2024-12-02
Grand Canyon,Hawaii,78,72,-14.0,Y,78-72,2024-12-03
Boston Col,S Carolina,51,73,4.5,N,51-73,2024-12-03
Butler,Eastern Illinois,73,58,-21.0,Y,73-58,2024-12-03
Saint Josephs,Princeton,69,77,-6.0,N,69-77,2024-12-03
Georgia,Notre Dame,69,48,-9.0,Y,69-48,2024-12-03
Tennessee,Syracuse,96,70,-22.5,Y,96-70,2024-12-03
Louisville,Ole Miss,63,86,-3.5,N,63-86,2024-12-03
Iowa,Northwestern,80,79,-5.0,Y,80-79,2024-12-03
Loyola-Chicago,Eastern Michigan,76,54,-18.0,Y,76-54,2024-12-03
Northeastern,La Salle,82,68,-1.0,Y,82-68,2024-12-03
LSU,Florida Stte,85,75,-4.5,Y,85-75,2024-12-03
Miami,Arkansas,73,76,4.0,Y,73-76,2024-12-03
Missouri,California,98,93,-10.5,Y,98-93,2024-12-03
Dayton,Western Michigan,77,69,-24.0,Y,77-69,2024-12-03
East Carolina,UNC Wilmington,53,67,-6.5,N,53-67,2024-12-03
Southern Illinois,Bradley,60,83,4.0,N,60-83,2024-12-03
Oklahoma,Georgia Tech,76,61,-12.0,Y,76-61,2024-12-03
Hampton,N Carolina A&T,82,71,-4.5,Y,82-71,2024-12-03
UCLA,Washington,69,58,-12.0,Y,69-58,2024-12-03
Akron,Northern Kentucky,86,73,-6.5,Y,86-73,2024-12-03
Duquesne,Saint Peters,59,62,-5.0,Y,59-62,2024-12-03
Texas A&M,Wake Forest,57,44,-9.0,Y,57-44,2024-12-03
Wisconsin,Michigan,64,67,-3.0,N,64-67,2024-12-03
Arizona Stte,San Diego,90,53,-20.5,Y,90-53,2024-12-03
Clemson,Kentucky,70,66,1.5,Y,70-66,2024-12-03
Villanova,Cincinnati,68,60,3.5,Y,68-60,2024-12-03
Providence,BYU,83,64,4.5,Y,83-64,2024-12-03
St Marys,UTSA,82,74,-23.0,Y,82-74,2024-12-03
Stnford,Utah Valley,77,63,-11.5,Y,77-63,2024-12-03
Murray Stte,Evansville,63,61,-13.5,Y,63-61,2024-12-03
Indiana,Sam Houston Stte,97,71,-13.5,Y,97-71,2024-12-03
James Madison,East Tennessee Stte,71,61,-4.0,Y,71-61,2024-12-03
Boise Stte,Dixie Stte,87,64,-23.5,Y,87-64,2024-12-03
USC,Oregon,60,68,6.0,N,60-68,2024-12-04
Seton Hall,NJIT,67,56,-18.0,Y,67-56,2024-12-04
Lehigh,Monmouth,90,63,-1.0,Y,90-63,2024-12-04
Colorado Stte,Loyola Marymount,83,54,-8.5,Y,83-54,2024-12-04
New Mexico Stte,Abilene Christian,70,78,-2.5,N,70-78,2024-12-04
Eastern Washington,North Dakota,87,81,-7.0,Y,87-81,2024-12-04
Weber Stte,North Dakota Stte,73,77,-4.5,Y,73-77,2024-12-04
Utah Stte,Wyoming,70,67,-18.5,Y,70-67,2024-12-04
Texas Tech,DePaul,76,62,-14.0,Y,76-62,2024-12-04
New Mexico,San Jose Stte,83,77,-19.5,Y,83-77,2024-12-04
Duke,Auburn,84,78,-3.5,Y,84-78,2024-12-04
Wagner,Coppin Stte,65,52,-11.5,Y,65-52,2024-12-04
Northern Colorado,St Thomas (MN),75,87,-4.5,N,75-87,2024-12-04
Arkansas-Little Rock,Central Arkansas,63,57,-9.5,Y,63-57,2024-12-04
Denver,Sacramento Stte,80,59,-3.5,Y,80-59,2024-12-04
NC Stte,Texas,59,63,2.5,N,59-63,2024-12-04
Florida,Virginia,87,69,-17.5,Y,87-69,2024-12-04
Campbell,Coastal Carolina,57,58,-5.0,Y,57-58,2024-12-04
Montana,South Dakota Stte,71,67,1.0,Y,71-67,2024-12-04
Maryland,Ohio Stte,83,59,-5.5,Y,83-59,2024-12-04
Wichita Stte,Alcorn Stte,78,54,-24.0,Y,78-54,2024-12-04
Creighton,Kansas,76,63,3.5,Y,76-63,2024-12-04
N Carolina,Alabama,79,94,-1.5,N,79-94,2024-12-04
Memphis,Louisiana Tech,81,71,-11.0,Y,81-71,2024-12-04
Fresno Stte,San Diego Stte,62,84,13.0,N,62-84,2024-12-04
Florida Gulf Coast,Furman,73,76,2.5,N,73-76,2024-12-04
Oral Roberts,Northern Arizona,83,76,-4.5,Y,83-76,2024-12-04
Fordham,Fairleigh Dickinson,84,75,-12.0,Y,84-75,2024-12-04
Iowa Stte,Marquette,81,70,-5.5,Y,81-70,2024-12-04
Tulsa,Oklahoma Stte,55,76,5.5,N,55-76,2024-12-04
VA Tech,Vanderbilt,64,80,6.0,N,64-80,2024-12-04
Fairfield,Rider,78,75,-2.0,Y,78-75,2024-12-04
North Alabama,Tennessee Tech,82,59,-7.5,Y,82-59,2024-12-04
Belmont,Illinois Stte,99,97,-5.0,Y,99-97,2024-12-04
American,George Washington,81,71,4.5,Y,81-71,2024-12-04
Connecticut,Baylor,76,72,-3.5,Y,76-72,2024-12-04
Seattle,Portland Stte,91,74,-8.0,Y,91-74,2024-12-04
Wofford,Gardner-Webb,88,64,-5.5,Y,88-64,2024-12-04
UMKC,Idaho,77,82,-4.5,N,77-82,2024-12-04
UIC,Northern Iowa,56,83,2.0,N,56-83,2024-12-04
Nebraska-Omaha,Montana Stte,65,76,4.0,N,65-76,2024-12-04
VCU,Georgia Southern,89,54,-19.5,Y,89-54,2024-12-04
Minnesota,Michigan Stte,72,90,5.0,N,72-90,2024-12-04
Holy Cross,Harvard,68,67,3.0,Y,68-67,2024-12-04
Robert Morris,Youngstown Stte,58,72,-1.5,N,58-72,2024-12-04
Bucknell,St Bonaventure,47,64,7.5,N,47-64,2024-12-04
Western Carolina,Bellarmine,86,74,-5.5,Y,86-74,2024-12-04
Colgate,Cornell,57,84,2.0,N,57-84,2024-12-04
IUPUI,Wisconsin-Green Bay,84,75,3.5,Y,84-75,2024-12-04
UMass,Central Connecticut Stte,69,73,-9.5,Y,69-73,2024-12-04
Florida International,Florida Atlantic,77,88,9.0,N,77-88,2024-12-04
Miss Statete,Pittsburgh,90,57,-5.5,Y,90-57,2024-12-04
South Dakota,Idaho Stte,94,80,-3.5,Y,94-80,2024-12-04
Mercer,West Georgia,86,72,-11.0,Y,86-72,2024-12-04
Marshall,Morehead Stte,80,77,-10.5,Y,80-77,2024-12-04
Albany,Columbia,88,73,5.0,Y,88-73,2024-12-04
UC-Santa Barbara,UC San Diego,76,84,-2.5,N,76-84,2024-12-05
Wisconsin-Milwaukee,Cleveland Stte,79,67,-7.5,Y,79-67,2024-12-05
UC Davis,Cal Poly,77,66,-2.5,Y,77-66,2024-12-05
UC Irvine,Cal Stte-Bakersfield,82,66,-15.0,Y,82-66,2024-12-05
Cal Stte-Northridge,UC Riverside,64,68,-4.0,N,64-68,2024-12-05
San Francisco,Saint Louis,78,61,-9.0,Y,78-61,2024-12-05
Penn Stte,Purdue,81,70,-2.0,Y,81-70,2024-12-05
Valparaiso,Drake,60,66,9.5,Y,60-66,2024-12-05
Cal Stte-Fullerton,Long Beach Stte,56,73,-5.0,N,56-73,2024-12-05
TX Christian,Xavier,76,72,-1.0,Y,76-72,2024-12-05
Oakland,Wright Stte,66,64,-1.0,Y,66-64,2024-12-05
Detroit,PFW,79,78,7.5,Y,79-78,2024-12-05
Marist,Mount St Marys,53,50,-5.5,Y,53-50,2024-12-06
Rider,Quinnipiac,67,72,1.0,N,67-72,2024-12-06
Duquesne,Delaware,80,66,-3.5,Y,80-66,2024-12-06
Northwestern,Illinois,70,66,3.0,Y,70-66,2024-12-06
Niagara,Siena,69,68,-2.5,Y,69-68,2024-12-06
W Virginia,Georgetown University,73,60,-8.5,Y,73-60,2024-12-06
Saint Peters,Manhattan,67,70,-9.0,Y,67-70,2024-12-06
Kent Stte,Portland,76,57,-13.0,Y,76-57,2024-12-06
Sacred Heart,Iona,83,59,1.0,Y,83-59,2024-12-06
Canisius,Merrimack,52,60,6.5,N,52-60,2024-12-06
Georgia Stte,Kennesaw Stte,77,81,-2.0,N,77-81,2024-12-06
Indiana,Miami-Ohio,76,57,-18.5,Y,76-57,2024-12-06
James Madison,Utah Valley,78,61,-6.5,Y,78-61,2024-12-07
UNC Wilmington,Marshall,78,69,-6.5,Y,78-69,2024-12-07
Idaho Stte,Oral Roberts,71,55,-5.5,Y,71-55,2024-12-07
UC Riverside,Cal Stte-Fullerton,75,68,-10.0,Y,75-68,2024-12-07
Northern Iowa,Northern Illinois,101,57,-18.5,Y,101-57,2024-12-07
North Dakota Stte,Northern Colorado,82,70,-1.5,Y,82-70,2024-12-07
Youngstown Stte,Oakland,66,50,-2.0,Y,66-50,2024-12-07
UC San Diego,Cal Stte-Bakersfield,81,60,-11.5,Y,81-60,2024-12-07
Ohio,Morehead Stte,88,76,-13.5,Y,88-76,2024-12-07
South Dakota Stte,Eastern Washington,74,53,-9.5,Y,74-53,2024-12-07
Wisconsin-Green Bay,Cleveland Stte,61,83,-2.0,N,61-83,2024-12-07
Villanova,Temple,94,65,-9.5,Y,94-65,2024-12-07
Elon,Wofford,79,56,-2.5,Y,79-56,2024-12-07
Utah,St Marys,63,72,-3.5,N,63-72,2024-12-07
Missouri Stte,Indiana Stte,77,80,-5.0,Y,77-80,2024-12-07
Colorado,Colorado Stte,72,55,-3.0,Y,72-55,2024-12-07
Evansville,Western Kentucky,65,79,5.5,N,65-79,2024-12-07
Montana Stte,UMKC,74,62,-8.5,Y,74-62,2024-12-07
Arkansas,UTSA,75,60,-19.5,Y,75-60,2024-12-07
UC Davis,UC-Santa Barbara,71,60,2.5,Y,71-60,2024-12-07
Sacramento Stte,Nebraska-Omaha,60,70,-1.0,N,60-70,2024-12-07
NC Stte,Florida Stte,84,74,-5.0,Y,84-74,2024-12-07
California,Stnford,81,89,-1.5,N,81-89,2024-12-07
Michigan,Iowa,85,83,-9.5,Y,85-83,2024-12-07
St Bonaventure,Buffalo,65,55,-17.5,Y,65-55,2024-12-07
Houston,Butler,79,51,-17.5,Y,79-51,2024-12-07
Loyola Marymount,Nevada,68,64,7.5,Y,68-64,2024-12-07
Miami,Clemson,55,65,4.5,N,55-65,2024-12-07
Illinois Stte,Pacific,72,61,-7.5,Y,72-61,2024-12-07
Washington,USC,61,85,-4.0,N,61-85,2024-12-07
UTEP,Seattle,88,72,-3.5,Y,88-72,2024-12-07
Utah Stte,Dixie Stte,92,62,-24.5,Y,92-62,2024-12-07
Northern Arizona,South Dakota,95,82,-1.0,Y,95-82,2024-12-07
Marquette,Wisconsin,88,74,-6.5,Y,88-74,2024-12-07
Arizona,Southern Utah,102,66,-27.5,Y,102-66,2024-12-07
Ohio Stte,Rutgers,80,66,-5.5,Y,80-66,2024-12-07
Oregon Stte,Idaho,78,62,-14.0,Y,78-62,2024-12-07
S Methodist,Virginia,63,51,-10.0,Y,63-51,2024-12-07
Furman,Princeton,69,63,1.5,Y,69-63,2024-12-07
Creighton,UNLV,83,65,-10.0,Y,83-65,2024-12-07
IUPUI,Northern Kentucky,64,66,7.0,Y,64-66,2024-12-07
Ole Miss,Lindenwood,86,53,-31.0,Y,86-53,2024-12-07
Air Force,Stny Brook,69,61,-5.5,Y,69-61,2024-12-07
St Johns,Kansas Stte,88,71,-10.0,Y,88-71,2024-12-07
Wake Forest,Boston Col,72,66,-10.5,Y,72-66,2024-12-07
Wichita Stte,East Tennessee Stte,96,87,-7.5,Y,96-87,2024-12-07
Portland Stte,Denver,67,68,-8.5,Y,67-68,2024-12-07
Cal Poly,Cal Stte-Northridge,91,102,2.5,N,91-102,2024-12-07
North Dakota,Weber Stte,80,75,2.5,Y,80-75,2024-12-07
Michigan Stte,Nebraska,89,52,-7.0,Y,89-52,2024-12-07
Belmont,Middle Tennessee,82,79,-3.0,Y,82-79,2024-12-07
Gonzaga,Kentucky,89,90,-6.5,Y,89-90,2024-12-07
Loyola-Chicago,South Florida,74,72,-10.5,Y,74-72,2024-12-07
George Mason,Tulane,76,64,-13.0,Y,76-64,2024-12-07
Southern Illinois,Southern Indiana,73,70,-9.5,Y,73-70,2024-12-07
S Carolina,East Carolina,75,68,-10.5,Y,75-68,2024-12-07
VA Tech,Pittsburgh,59,64,8.5,Y,59-64,2024-12-07
Boise Stte,Washington Stte,69,74,-8.5,Y,69-74,2024-12-07
San Diego Stte,San Diego,74,57,-24.5,Y,74-57,2024-12-07
Santa Clara,Fresno Stte,81,66,-16.0,Y,81-66,2024-12-07
Detroit,Wright Stte,72,80,6.5,N,72-80,2024-12-07
Long Beach Stte,Hawaii,76,68,6.0,Y,76-68,2024-12-07
N Carolina A&T,UNC Greensboro,55,67,5.5,N,55-67,2024-12-07
Pennsylvania,Drexel,47,60,3.5,N,47-60,2024-12-07
St Thomas (MN),Montana,88,81,-5.5,Y,88-81,2024-12-07
New Mexico,New Mexico Stte,83,89,-19.5,Y,83-89,2024-12-07
Rhode Island,Providence,69,63,2.5,Y,69-63,2024-12-07
Old Dominion,George Washington,70,78,8.5,Y,70-78,2024-12-07
Saint Josephs,La Salle,82,68,-6.5,Y,82-68,2024-12-07
Notre Dame,Syracuse,69,64,-5.5,Y,69-64,2024-12-07
N Carolina,Georgia Tech,68,65,-18.5,Y,68-65,2024-12-07
Central Florida,Tarleton Stte,66,51,-24.0,Y,66-51,2024-12-08
Iona,Saint Peters,72,63,-1.0,Y,72-63,2024-12-08
TX Christian,Vanderbilt,74,83,2.5,N,74-83,2024-12-08
Mount St Marys,Fairfield,101,94,-2.5,Y,101-94,2024-12-08
Louisville,Duke,65,76,8.0,N,65-76,2024-12-08
Seton Hall,Oklahoma Stte,76,85,1.5,N,76-85,2024-12-08
PFW,Robert Morris,82,77,-9.5,Y,82-77,2024-12-08
Texas Tech,Texas A&M,67,72,-1.0,N,67-72,2024-12-08
Missouri,Kansas,76,67,6.5,Y,76-67,2024-12-08
Memphis,Arkansas Stte,72,85,-12.0,N,72-85,2024-12-08
Niagara,Merrimack,62,80,2.0,N,62-80,2024-12-08
Canisius,Siena,53,66,4.5,N,53-66,2024-12-08
UIC,Dartmouth,69,68,-11.0,Y,69-68,2024-12-08
Purdue,Maryland,83,78,-4.5,Y,83-78,2024-12-08
Texas Stte,Rice,75,66,-6.0,Y,75-66,2024-12-08
Texas,Connecticut,65,76,-1.5,N,65-76,2024-12-08
Louisiana-Lafayette,Louisiana Tech,58,69,6.5,N,58-69,2024-12-08
Oregon,UCLA,71,73,-3.5,Y,71-73,2024-12-08
Quinnipiac,Sacred Heart,83,73,-6.0,Y,83-73,2024-12-08
Southern Illinois-Edwardsville,Ball Stte,82,69,-3.0,Y,82-69,2024-12-08
South Alabama,Jacksonville Stte,76,74,-4.0,Y,76-74,2024-12-08
Murray Stte,Southeast Missouri Stte,73,53,-16.0,Y,73-53,2024-12-08
Auburn,Richmond,98,54,-29.0,Y,98-54,2024-12-08
Manhattan,Marist,75,82,1.5,N,75-82,2024-12-08
Baylor,Abilene Christian,88,57,-25.0,Y,88-57,2024-12-09
Norfolk Stte,Hofstra,67,80,-4.5,N,67-80,2024-12-09
Indiana,Minnesota,82,67,-9.5,Y,82-67,2024-12-09
S Carolina Stte,Charleston Southern,82,63,-2.5,Y,82-63,2024-12-09
VCU,Pennsylvania,66,47,-23.5,Y,66-47,2024-12-09
Rutgers,Penn Stte,80,76,-2.5,Y,80-76,2024-12-10
DePaul,Providence,63,70,-2.0,N,63-70,2024-12-10
Western Kentucky,Tennessee Stte,84,60,-14.0,Y,84-60,2024-12-10
Saint Josephs,College of Charleston,75,78,-7.5,Y,75-78,2024-12-10
California,Cornell,80,88,-9.0,Y,80-88,2024-12-10
San Diego,Long Beach Stte,70,76,-4.5,N,70-76,2024-12-10
Brown,Rhode Island,84,80,4.0,Y,84-80,2024-12-10
Tulane,Southern Mississippi,86,58,-6.5,Y,86-58,2024-12-10
Michigan,Arkansas,87,89,-4.0,Y,87-89,2024-12-10
Davidson,Charlotte,75,71,-8.0,Y,75-71,2024-12-10
Illinois,Wisconsin,86,80,-7.0,Y,86-80,2024-12-10
Houston,Troy,62,42,-27.5,Y,62-42,2024-12-10
Washington,Eastern Washington,87,69,-12.5,Y,87-69,2024-12-10
Princeton,Monmouth,71,67,-14.0,Y,71-67,2024-12-10
Portland,UMKC,64,69,-2.5,N,64-69,2024-12-10
South Dakota,Wyoming,82,81,-1.0,Y,82-81,2024-12-10
Butler,North Dakota Stte,68,71,-13.0,Y,68-71,2024-12-10
Miami,Tennessee,62,75,14.5,Y,62-75,2024-12-10
Utah Valley,North Dakota,80,57,-10.5,Y,80-57,2024-12-11
Wright Stte,Marshall,88,79,-5.5,Y,88-79,2024-12-11
Nevada,South Dakota Stte,77,63,-11.5,Y,77-63,2024-12-11
Louisville,UTEP,77,74,-14.5,Y,77-74,2024-12-11
Notre Dame,Dartmouth,77,65,-17.0,Y,77-65,2024-12-11
Wisconsin-Green Bay,Wisconsin-Milwaukee,67,88,5.5,N,67-88,2024-12-11
BYU,Fresno Stte,95,67,-25.5,Y,95-67,2024-12-11
San Diego Stte,Cal Baptist,81,75,-13.5,Y,81-75,2024-12-11
PFW,IUPUI,78,76,-14.5,Y,78-76,2024-12-11
Texas,New Mexico Stte,91,67,-19.0,Y,91-67,2024-12-12
VA Tech,N Carolina A&T,95,67,-14.0,Y,95-67,2024-12-12
Iowa,Iowa Stte,80,89,5.5,N,80-89,2024-12-12
Arkansas Stte,Texas-Arlington,83,79,-7.5,Y,83-79,2024-12-12
Evansville,Chattanooga,67,75,2.5,N,67-75,2024-12-12
The Citadel,Campbell,58,86,1.0,N,58-86,2024-12-12
St Thomas (MN),Western Michigan,77,71,-12.0,Y,77-71,2024-12-13
UTSA,North Dakota,80,76,-7.5,Y,80-76,2024-12-13
Louisiana Tech,Georgia Southern,77,63,-11.5,Y,77-63,2024-12-13
Dixie Stte,Weber Stte,71,73,4.0,Y,71-73,2024-12-13
Colorado,South Dakota Stte,81,70,-8.0,Y,81-70,2024-12-13
Northern Iowa,Nebraska-Omaha,78,58,-14.0,Y,78-58,2024-12-13
Nebraska,Indiana,85,68,-4.5,Y,85-68,2024-12-13
Santa Clara,Bradley,84,74,-3.0,Y,84-74,2024-12-14
Kentucky,Louisville,93,85,-9.5,Y,93-85,2024-12-14
Texas-Arlington,Louisiana-Monroe,77,68,-13.0,Y,77-68,2024-12-14
Jacksonville Stte,Utah Valley,70,66,-3.0,Y,70-66,2024-12-14
Syracuse,Georgetown University,71,75,1.0,N,71-75,2024-12-14
Butler,Wisconsin,74,83,5.0,N,74-83,2024-12-14
UMKC,Bowling Green,85,77,-3.5,Y,85-77,2024-12-14
VCU,Colorado Stte,76,68,-6.0,Y,76-68,2024-12-14
Kansas,NC Stte,75,60,-14.5,Y,75-60,2024-12-14
Marshall,Ohio,79,70,1.0,Y,79-70,2024-12-14
Lindenwood,IUPUI,81,63,-1.0,Y,81-63,2024-12-14
Youngstown Stte,Toledo,93,87,-1.5,Y,93-87,2024-12-14
Richmond,Belmont,86,93,2.0,N,86-93,2024-12-14
Valparaiso,Central Michigan,93,77,-1.0,Y,93-77,2024-12-14
Arizona Stte,Florida,66,83,7.5,N,66-83,2024-12-14
Oklahoma Stte,Oklahoma,65,80,4.0,N,65-80,2024-12-14
Georgia Stte,Charlotte,63,77,-1.5,N,63-77,2024-12-14
N Carolina,La Salle,93,67,-20.5,Y,93-67,2024-12-14
Illinois,Tennessee,64,66,1.5,N,64-66,2024-12-14
Davidson,Detroit,86,51,-16.0,Y,86-51,2024-12-14
Oregon Stte,UC Irvine,67,55,-2.5,Y,67-55,2024-12-14
Connecticut,Gonzaga,77,71,3.5,Y,77-71,2024-12-14
S Methodist,LSU,74,64,-4.5,Y,74-64,2024-12-14
Pepperdine,Northern Arizona,86,76,-4.0,Y,86-76,2024-12-14
Rider,Stny Brook,55,72,-6.0,N,55-72,2024-12-14
Ole Miss,Southern Mississippi,77,46,-23.0,Y,77-46,2024-12-14
Alabama,Creighton,83,75,-11.5,Y,83-75,2024-12-14
Dayton,Marquette,71,63,-1.0,Y,71-63,2024-12-14
Florida Stte,Tulane,77,64,-10.5,Y,77-64,2024-12-14
Fresno Stte,San Diego,73,65,-5.0,Y,73-65,2024-12-14
Washington Stte,Missouri Stte,91,78,-11.0,Y,91-78,2024-12-14
BYU,Wyoming,68,49,-16.0,Y,68-49,2024-12-14
Clemson,Memphis,82,87,-5.5,Y,82-87,2024-12-14
Florida Atlantic,Texas Stte,89,80,-9.0,Y,89-80,2024-12-14
San Jose Stte,Cal Poly,107,100,-6.0,Y,107-100,2024-12-14
DePaul,Wichita Stte,91,72,-4.5,Y,91-72,2024-12-14
Boise Stte,St Marys,67,65,2.5,Y,67-65,2024-12-14
Purdue,Texas A&M,66,70,-2.0,N,66-70,2024-12-14
Utah Stte,South Florida,88,67,-16.5,Y,88-67,2024-12-14
South Dakota,Western Illinois,89,66,-9.5,Y,89-66,2024-12-14
Liberty,N Carolina A&T,83,74,-20.0,Y,83-74,2024-12-14
Rutgers,Seton Hall,66,63,-10.5,Y,66-63,2024-12-14
Georgia,Grand Canyon,73,68,-6.5,Y,73-68,2024-12-14
Providence,St Bonaventure,70,74,-3.5,N,70-74,2024-12-14
Duquesne,Towson,65,47,2.5,Y,65-47,2024-12-14
Central Florida,Tulsa,88,75,-10.5,Y,88-75,2024-12-14
Sacramento Stte,UC Davis,62,69,6.0,N,62-69,2024-12-14
UNLV,Pacific,72,65,-12.5,Y,72-65,2024-12-14
UCLA,Arizona,57,54,4.0,Y,57-54,2024-12-14
Western Kentucky,Murray Stte,81,76,-5.0,Y,81-76,2024-12-14
Cincinnati,Xavier,68,65,-8.0,Y,68-65,2024-12-14
Ohio Stte,Auburn,53,91,12.5,N,53-91,2024-12-14
North Dakota Stte,Western Michigan,98,62,-8.5,Y,98-62,2024-12-15
Illinois Stte,Saint Louis,81,77,2.5,Y,81-77,2024-12-15
Arkansas-Little Rock,UIC,69,77,-2.0,N,69-77,2024-12-15
Hofstra,Temple,42,60,-3.5,N,42-60,2024-12-15
Loyola-Chicago,San Francisco,66,76,3.5,N,66-76,2024-12-15
Eastern Michigan,PFW,76,99,5.5,N,76-99,2024-12-15
Wisconsin-Milwaukee,Akron,100,81,-1.5,Y,100-81,2024-12-15
Iowa Stte,Nebraska-Omaha,83,51,-34.5,Y,83-51,2024-12-15
Idaho,UC San Diego,56,80,7.5,N,56-80,2024-12-15
Northwestern,Georgia Tech,71,60,-6.5,Y,71-60,2024-12-15
North Dakota,UTSA,85,95,2.0,N,85-95,2024-12-15
USC,Montana Stte,89,63,-9.0,Y,89-63,2024-12-15
Cal Stte-Fullerton,Denver,74,59,-3.5,Y,74-59,2024-12-15
UAB,Arkansas Stte,89,98,-3.5,N,89-98,2024-12-15
Old Dominion,Northeastern,71,75,6.5,Y,71-75,2024-12-15
New Mexico Stte,Southern Utah,72,69,-5.0,Y,72-69,2024-12-16
Northern Colorado,Air Force,81,76,-9.5,Y,81-76,2024-12-16
Louisiana Tech,Grand Canyon,74,66,3.0,Y,74-66,2024-12-16
Northern Iowa,Montana,104,76,-10.5,Y,104-76,2024-12-16
TX Christian,South Alabama,58,49,-12.5,Y,58-49,2024-12-16
Middle Tennessee,Cal Baptist,75,64,-5.0,Y,75-64,2024-12-16
Texas Tech,Oral Roberts,86,50,-27.5,Y,86-50,2024-12-16
College of Charleston,Wofford,77,67,-6.0,Y,77-67,2024-12-16
UTEP,Tarleton Stte,67,62,-15.0,Y,67-62,2024-12-16
Missouri,Jacksonville Stte,83,72,-17.5,Y,83-72,2024-12-17
Wake Forest,James Madison,75,58,-8.0,Y,75-58,2024-12-17
Western Kentucky,Seattle,86,73,-6.5,Y,86-73,2024-12-17
Kansas Stte,Drake,70,73,-1.5,N,70-73,2024-12-17
East Carolina,Florida International,75,64,-7.5,Y,75-64,2024-12-17
N Carolina A&T,Coastal Carolina,68,73,-4.0,N,68-73,2024-12-17
Villanova,Seton Hall,79,67,-8.0,Y,79-67,2024-12-17
N Carolina,Florida,84,90,3.5,N,84-90,2024-12-17
Miss Statete,Central Michigan,83,59,-20.0,Y,83-59,2024-12-17
Siena,St Bonaventure,48,65,6.5,N,48-65,2024-12-17
S Carolina,Clemson,91,88,1.5,Y,91-88,2024-12-17
Dayton,UNLV,66,65,-10.5,Y,66-65,2024-12-17
Ohio Stte,Valparaiso,95,73,-21.5,Y,95-73,2024-12-17
Auburn,Georgia Stte,100,59,-39.5,Y,100-59,2024-12-17
Duke,George Mason,68,47,-19.5,Y,68-47,2024-12-17
St Johns,DePaul,89,61,-11.5,Y,89-61,2024-12-17
Western Illinois,Tennessee Tech,71,68,-2.5,Y,71-68,2024-12-17
Stny Brook,Marist,66,68,2.5,Y,66-68,2024-12-17
Utah Stte,UC San Diego,73,75,-10.0,Y,73-75,2024-12-17
Stnford,Merrimack,74,68,-15.5,Y,74-68,2024-12-17
Robert Morris,Towson,68,67,1.5,Y,68-67,2024-12-17
Michigan Stte,Oakland,77,58,-16.5,Y,77-58,2024-12-17
Oregon Stte,Sacramento Stte,82,45,-20.5,Y,82-45,2024-12-17
Cal Poly,Denver,95,94,-10.5,Y,95-94,2024-12-17
Tennessee,Western Carolina,84,36,-36.0,Y,84-36,2024-12-17
Wichita Stte,UMKC,64,74,-13.5,Y,64-74,2024-12-17
Illinois Stte,Northern Illinois,81,60,-14.0,Y,81-60,2024-12-18
Portland,Cal Stte-Bakersfield,64,81,-1.5,N,64-81,2024-12-18
Indiana Stte,Murray Stte,84,74,3.0,Y,84-74,2024-12-18
Wright Stte,Youngstown Stte,70,80,-6.5,N,70-80,2024-12-18
William & Mary,Richmond,93,87,-2.5,Y,93-87,2024-12-18
Oklahoma,Michigan,87,86,4.0,Y,87-86,2024-12-18
Vanderbilt,The Citadel,105,53,-28.5,Y,105-53,2024-12-18
Houston,Toledo,78,49,-29.5,Y,78-49,2024-12-18
Oklahoma Stte,Tarleton Stte,66,61,-21.0,Y,66-61,2024-12-18
Idaho Stte,Utah Valley,56,70,1.0,N,56-70,2024-12-18
Marquette,Butler,80,70,-14.0,Y,80-70,2024-12-18
Georgetown University,Creighton,81,57,4.5,Y,81-57,2024-12-18
Pacific,Portland Stte,75,81,-4.0,N,75-81,2024-12-18
Saint Louis,Wofford,71,74,-7.5,Y,71-74,2024-12-18
Louisiana-Lafayette,Appalachian Stte,68,62,2.0,Y,68-62,2024-12-18
Loyola Marymount,UC-Santa Barbara,60,58,-2.5,Y,60-58,2024-12-18
East Tennessee Stte,Elon,84,58,-3.0,Y,84-58,2024-12-18
Loyola-Chicago,Canisius,72,60,-24.5,Y,72-60,2024-12-18
UC Davis,Idaho,74,66,-6.5,Y,74-66,2024-12-18
UC Riverside,Montana Stte,83,80,-2.5,Y,83-80,2024-12-18
